iter	Passed	Remaining
0	30	30607
1	50	25243
2	72	23972
3	98	24615
4	120	24038
5	143	23779
6	166	23660
7	188	23369
8	211	23251
9	231	22954
10	252	22665
11	274	22593
12	293	22316
13	314	22144
14	336	22092
15	358	22019
16	377	21842
17	397	21699
18	420	21698
19	443	21708
20	465	21680
21	489	21756
22	511	21747
23	538	21912
24	558	21789
25	579	21700
26	601	21666
27	622	21606
28	642	21496
29	663	21463
30	684	21391
31	704	21302
32	723	21212
33	744	21149
34	766	21131
35	786	21052
36	805	20972
37	832	21066
38	855	21082
39	880	21126
40	902	21106
41	925	21117
42	952	21191
43	972	21137
44	995	21132
45	1015	21066
46	1035	20991
47	1059	21022
48	1081	20982
49	1101	20927
50	1122	20879
51	1143	20853
52	1166	20838
53	1188	20817
54	1209	20787
55	1233	20794
56	1253	20739
57	1274	20696
58	1294	20645
59	1316	20621
60	1339	20621
61	1359	20561
62	1380	20532
63	1400	20483
64	1420	20431
65	1441	20392
66	1465	20406
67	1485	20366
68	1508	20353
69	1529	20314
70	1549	20273
71	1569	20231
72	1591	20208
73	1611	20171
